track_name,artists,release_year,era,duration_min,danceability,energy,loudness,acousticness,valence
Close Your Eyes,Shawn Colvin,1998,Pre-streaming,1.6462166666666667,0.31,0.036,-21.954,0.977,0.498
Polaroids,Shawn Colvin,1992,Pre-streaming,5.859333333333334,0.605,0.284,-15.003,0.716,0.551
Tennessee,Shawn Colvin,1992,Pre-streaming,4.342666666666666,0.612,0.7070000000000001,-8.737,0.1939999999999999,0.75
Tenderness On The Block,Shawn Colvin,1992,Pre-streaming,5.076,0.723,0.494,-11.724,0.153,0.583
Round Of Blues,Shawn Colvin,1992,Pre-streaming,4.73845,0.6709999999999999,0.542,-10.882,0.114,0.85
Monopoly,Shawn Colvin,1992,Pre-streaming,4.403333333333333,0.359,0.0496,-20.136,0.964,0.146
Orion In The Sky,Shawn Colvin,1992,Pre-streaming,6.63445,0.436,0.371,-13.459,0.37,0.3429999999999999
Climb On (A Back That's Strong),Shawn Colvin,1992,Pre-streaming,4.266216666666667,0.608,0.619,-9.213,0.144,0.6779999999999999
Set The Prairie On Fire,Shawn Colvin,1992,Pre-streaming,6.97445,0.674,0.245,-17.227999999999998,0.69,0.529
Object Of My Affection,Shawn Colvin,1992,Pre-streaming,3.8362166666666666,0.645,0.481,-12.104,0.121,0.718
Kill The Messenger,Shawn Colvin,1992,Pre-streaming,4.607783333333333,0.4429999999999999,0.319,-14.916,0.203,0.414
I Don't Know Why,Shawn Colvin,1992,Pre-streaming,4.638216666666667,0.241,0.253,-14.044,0.7859999999999999,0.159
The New Year,Death Cab for Cutie,2003,Pre-streaming,4.106216666666667,0.311,0.742,-7.8439999999999985,0.00386,0.19
Lightness,Death Cab for Cutie,2003,Pre-streaming,3.50355,0.696,0.3779999999999999,-12.495,0.0762,0.0852
Title and Registration,Death Cab for Cutie,2003,Pre-streaming,3.65445,0.752,0.544,-10.373,0.3429999999999999,0.723
Expo '86,Death Cab for Cutie,2003,Pre-streaming,4.18645,0.581,0.565,-7.525,0.0004559999999999,0.208
The Sound of Settling,Death Cab for Cutie,2003,Pre-streaming,2.20845,0.423,0.7609999999999999,-6.593,0.0055899999999999,0.7809999999999999
